sim,Team,Points,Wins,pl_wins,Losses,Tie
32,Diaz,1535.46,7,7,8,0
32,Eric,1480.97,7,6,8,0
32,Barrett,1424.05,7,6,8,0
32,Bobby,1641.07,6,6,9,0
32,David,1358.47,5,5,10,0
32,Pfinn,1477.63,4,4,11,0
33,Scott,1781.58,12,11,3,0
33,German,1778.88,11,11,4,0
33,Diaz,1567.1100000000001,8,7,7,0
33,Justin,1522.6,8,7,7,0
33,Bobby,1674.93,7,6,8,0
33,Brian,1633.06,7,7,8,0
33,Eric,1449.53,6,6,9,0
33,Barrett,1416.68,6,6,9,0
33,Pfinn,1506.36,5,4,10,0
33,David,1374.32,5,5,10,0
34,German,1821.66,12,11,3,0
34,Scott,1767.24,11,11,4,0
34,Diaz,1566.59,8,7,7,0
34,Justin,1519.53,8,7,7,0
34,Bobby,1680.71,7,6,8,0
34,Brian,1621.31,7,7,8,0
34,Barrett,1395.05,7,6,8,0
34,Eric,1473.44,6,6,9,0
34,David,1353.52,5,5,10,0
34,Pfinn,1465.05,4,4,11,0
35,German,1813.65,12,11,3,0
35,Scott,1764.08,11,11,4,0
35,Diaz,1564.83,8,7,7,0
35,Bobby,1684.8700000000001,7,6,8,0
35,Brian,1641.6599999999999,7,7,8,0
35,Justin,1526.07,7,7,8,0
35,Eric,1448.07,6,6,9,0
35,Barrett,1401.43,6,6,9,0
35,David,1393.26,6,5,9,0
35,Pfinn,1516.1,5,4,10,0
36,Scott,1787.79,12,11,3,0
36,German,1772.99,11,11,4,0
36,Brian,1639.76,8,7,7,0
36,Diaz,1561.44,8,7,7,0
36,Justin,1514.8,8,7,7,0
36,Bobby,1672.42,6,6,9,0
36,Eric,1463.07,6,6,9,0
36,Barrett,1390.6599999999999,6,6,9,0
36,Pfinn,1486.81,5,4,10,0
36,David,1371.8,5,5,10,0
37,Scott,1799.49,12,11,3,0
37,German,1734.62,11,11,4,0
37,Diaz,1561.51,8,7,7,0
37,Bobby,1676.17,7,6,8,0
37,Brian,1622.28,7,7,8,0
37,Justin,1521.45,7,7,8,0
37,Eric,1476.51,6,6,9,0
37,Barrett,1402.99,6,6,9,0
37,David,1392.32,6,5,9,0
37,Pfinn,1516.1200000000001,5,4,10,0
38,German,1816.9,12,11,3,0
38,Scott,1738.03,11,11,4,0
38,Diaz,1574.97,8,7,7,0
38,Bobby,1689.1,7,6,8,0
38,Brian,1617.31,7,7,8,0
38,Justin,1516.18,7,7,8,0
38,Barrett,1417.07,7,6,8,0
38,Eric,1461.79,6,6,9,0
38,David,1374.77,6,5,9,0
38,Pfinn,1473.37,4,4,11,0
39,German,1805.37,12,11,3,0
39,Scott,1771.72,11,11,4,0
39,Brian,1642.74,8,7,7,0
39,Diaz,1581.63,8,7,7,0
39,Justin,1526.44,8,7,7,0
39,Bobby,1660.1,6,6,9,0
39,Eric,1493.75,6,6,9,0
39,Barrett,1376.96,6,6,9,0
39,Pfinn,1492.46,5,4,10,0
39,David,1380.64,5,5,10,0
40,German,1778.97,12,11,3,0
40,Scott,1737.43,11,11,4,0
40,Brian,1657.9,8,7,7,0
40,Diaz,1558.38,8,7,7,0
40,Justin,1512.79,8,7,7,0
40,Bobby,1675.1200000000001,6,6,9,0
40,Eric,1441.35,6,6,9,0
40,Barrett,1432.27,6,6,9,0
40,Pfinn,1510.07,5,4,10,0
40,David,1363.8,5,5,10,0
41,German,1790.19,12,11,3,0
41,Scott,1758.4,11,11,4,0
41,Brian,1643.84,8,7,7,0
41,Diaz,1551.64,7,7,8,0
41,Justin,1516.72,7,7,8,0
41,Eric,1508.69,7,6,8,0
41,Barrett,1407.42,7,6,8,0
41,Bobby,1661.4,6,6,9,0
41,David,1397.99,6,5,9,0
41,Pfinn,1475.86,4,4,11,0
42,Scott,1785.44,12,11,3,0
42,German,1751.44,11,11,4,0
42,Brian,1631.12,8,7,7,0
42,Diaz,1567.68,8,7,7,0
42,Justin,1528.98,8,7,7,0
42,Bobby,1657.02,6,6,9,0
42,Eric,1451.33,6,6,9,0
42,Barrett,1430.3899999999999,6,6,9,0
42,Pfinn,1533.2,5,4,10,0
42,David,1335.59,5,5,10,0
43,Scott,1757.78,12,11,3,0
43,German,1764.76,11,11,4,0
43,Diaz,1553.09,8,7,7,0
43,Justin,1530.8700000000001,8,7,7,0
43,Bobby,1715.61,7,6,8,0
43,Brian,1652.1599999999999,7,7,8,0
43,Eric,1444.92,6,6,9,0
43,Barrett,1412.4,6,6,9,0
43,Pfinn,1490.4,5,4,10,0
43,David,1326.47,5,5,10,0
44,German,1811.95,12,11,3,0
44,Scott,1766.97,11,11,4,0
44,Brian,1654.93,8,7,7,0
44,Diaz,1545.66,8,7,7,0
44,Justin,1507.68,7,7,8,0
44,Barrett,1430.51,7,6,8,0
44,Bobby,1665.53,6,6,9,0
44,Eric,1455.69,6,6,9,0
44,David,1371.1,6,5,9,0
44,Pfinn,1493.51,4,4,11,0
45,Scott,1747.83,12,11,3,0
45,German,1710.46,11,11,4,0
45,Diaz,1554.96,8,7,7,0
45,Bobby,1697.3700000000001,7,6,8,0
45,Brian,1640.22,7,7,8,0
45,Justin,1516.93,7,7,8,0
45,Eric,1461.21,6,6,9,0
45,Barrett,1397.76,6,6,9,0
45,David,1382.71,6,5,9,0
45,Pfinn,1494.66,5,4,10,0
46,Scott,1747.75,12,11,3,0
46,German,1749.78,11,11,4,0
46,Justin,1521.64,8,7,7,0
46,Bobby,1634.71,7,6,8,0
46,Brian,1586.8799999999999,7,7,8,0
46,Diaz,1558.27,7,7,8,0
46,Eric,1516.63,7,6,8,0
46,Barrett,1431.37,6,6,9,0
