Team,Points,Wins,pl_wins,Losses,Tie,sim
Barrett,1826.6399999999999,9,8,6,0,28
Brian,1675.95,8,8,7,0,28
PFinn,1763.06,7,7,8,0,28
Eric,1714.44,7,6,8,0,28
Diaz,1543.31,6,6,9,0,28
David,1599.65,5,5,10,0,28
Justin,1326.49,1,1,14,0,28
Bobby,2091.37,12,11,3,0,29
Scott,2152.16,11,11,4,0,29
German,1845.3,11,11,4,0,29
Barrett,1875.28,10,9,5,0,29
PFinn,1901,9,8,6,0,29
Diaz,1781.1200000000001,8,7,7,0,29
David,1687.73,5,5,10,0,29
Brian,1672.87,5,5,10,0,29
Eric,1422.16,2,2,13,0,29
Justin,1371.81,2,1,13,0,29
Bobby,2241.28,13,12,2,0,30
German,1954.48,10,9,5,0,30
PFinn,1898.1299999999999,10,10,5,0,30
David,1713.09,8,7,7,0,30
Eric,1654.49,8,7,7,0,30
Diaz,1612.1,8,7,7,0,30
Brian,1712.62,7,7,8,0,30
Scott,1596.02,6,6,9,0,30
Barrett,1715.35,5,5,10,0,30
Justin,1290.05,0,0,15,0,30
German,1982.14,12,11,3,0,31
PFinn,1877.01,10,10,5,0,31
Scott,1745.02,10,9,5,0,31
Barrett,1835.9,9,9,6,0,31
Eric,1723.79,9,8,6,0,31
David,1797.94,8,7,7,0,31
Diaz,1570.21,6,6,9,0,31
Bobby,1690.06,5,4,10,0,31
Brian,1596.81,4,4,11,0,31
Justin,1340.85,2,2,13,0,31
Scott,2345.89,13,12,2,0,32
German,2082.55,11,10,4,0,32
PFinn,2065.26,10,10,5,0,32
Barrett,1776.2,9,8,6,0,32
David,1717.69,8,8,7,0,32
Bobby,1867.78,7,7,8,0,32
Brian,1612.32,7,6,8,0,32
Diaz,1580.2,5,5,10,0,32
Eric,1466.07,4,3,11,0,32
Justin,1278.34,1,1,14,0,32
Scott,2128.2599999999998,12,11,3,0,33
German,1982.04,11,10,4,0,33
PFinn,1928.09,9,9,6,0,33
Bobby,1916.26,9,9,6,0,33
Eric,1777.1,8,7,7,0,33
Diaz,1682.18,8,8,7,0,33
Barrett,1757.68,7,6,8,0,33
Brian,1845.49,6,5,9,0,33
David,1626.36,4,4,11,0,33
Justin,1329.1,1,1,14,0,33
German,2255.92,13,12,2,0,34
Barrett,1977.39,10,9,5,0,34
Scott,1949.31,10,10,5,0,34
Bobby,2014.91,9,8,6,0,34
PFinn,1778.04,9,9,6,0,34
Diaz,1571.72,7,6,8,0,34
Brian,1735.99,6,6,9,0,34
David,1618.6100000000001,6,6,9,0,34
Eric,1538.53,4,4,11,0,34
Justin,1211.79,1,0,14,0,34
PFinn,1949.59,12,11,3,0,35
German,1865.49,10,10,5,0,35
Bobby,1688.6000000000001,9,8,6,0,35
Eric,1669.89,9,9,6,0,35
Scott,1618.53,8,8,7,0,35
Barrett,1785.51,7,6,8,0,35
Diaz,1711.35,7,6,8,0,35
Brian,1628.26,6,6,9,0,35
David,1601.94,6,6,9,0,35
Justin,1324.68,1,0,14,0,35
PFinn,1982.43,11,10,4,0,36
Bobby,1923.89,10,9,5,0,36
Scott,1830.46,10,10,5,0,36
David,1777.2,10,9,5,0,36
Diaz,1691.17,8,7,7,0,36
Barrett,1788.18,7,7,8,0,36
Eric,1636.09,7,6,8,0,36
German,1398.68,7,7,8,0,36
Brian,1681.82,5,5,10,0,36
Justin,1353.34,0,0,15,0,36
German,1947.98,13,12,2,0,37
Bobby,2198.82,12,11,3,0,37
PFinn,1864.66,11,11,4,0,37
Scott,1851.9,9,8,6,0,37
Barrett,1697.35,8,7,7,0,37
Brian,1608.05,7,7,8,0,37
Diaz,1604.3899999999999,6,6,9,0,37
Eric,1521.8,5,4,10,0,37
David,1559.63,4,4,11,0,37
Justin,1330.45,0,0,15,0,37
German,1945.79,10,9,5,0,38
