Team,Points,Wins,pl_wins,Losses,Tie,sim
Ford,1828.5,7,7,7,0,24
Kral,1661.5,7,7,7,0,24
Jangaard,1620,7,7,7,0,24
Bethany,1618.5,7,7,7,0,24
Scott,1497.5,5,5,9,0,24
Burg,1448,4,4,10,0,24
Wikle,1692,9,9,5,0,25
Brazil,1802,8,8,6,0,25
Rebecca,1743.5,8,8,6,0,25
Jersey,1723,8,8,6,0,25
Ford,1828.5,7,7,7,0,25
Kral,1661.5,7,7,7,0,25
Jangaard,1620,7,7,7,0,25
Bethany,1618.5,7,7,7,0,25
Scott,1497.5,5,5,9,0,25
Burg,1448,4,4,10,0,25
Wikle,1692,9,9,5,0,26
Brazil,1802,8,8,6,0,26
Rebecca,1743.5,8,8,6,0,26
Jersey,1723,8,8,6,0,26
Ford,1828.5,7,7,7,0,26
Kral,1661.5,7,7,7,0,26
Jangaard,1620,7,7,7,0,26
Bethany,1618.5,7,7,7,0,26
Scott,1497.5,5,5,9,0,26
Burg,1448,4,4,10,0,26
Wikle,1692,9,9,5,0,27
Brazil,1802,8,8,6,0,27
Rebecca,1743.5,8,8,6,0,27
Jersey,1723,8,8,6,0,27
Ford,1828.5,7,7,7,0,27
Kral,1661.5,7,7,7,0,27
Jangaard,1620,7,7,7,0,27
Bethany,1618.5,7,7,7,0,27
Scott,1497.5,5,5,9,0,27
Burg,1448,4,4,10,0,27
Wikle,1692,9,9,5,0,28
Brazil,1802,8,8,6,0,28
Rebecca,1743.5,8,8,6,0,28
Jersey,1723,8,8,6,0,28
Ford,1828.5,7,7,7,0,28
Kral,1661.5,7,7,7,0,28
Jangaard,1620,7,7,7,0,28
Bethany,1618.5,7,7,7,0,28
Scott,1497.5,5,5,9,0,28
Burg,1448,4,4,10,0,28
Wikle,1692,9,9,5,0,29
Brazil,1802,8,8,6,0,29
Rebecca,1743.5,8,8,6,0,29
Jersey,1723,8,8,6,0,29
Ford,1828.5,7,7,7,0,29
Kral,1661.5,7,7,7,0,29
Jangaard,1620,7,7,7,0,29
Bethany,1618.5,7,7,7,0,29
Scott,1497.5,5,5,9,0,29
Burg,1448,4,4,10,0,29
Wikle,1692,9,9,5,0,30
Brazil,1802,8,8,6,0,30
Rebecca,1743.5,8,8,6,0,30
Jersey,1723,8,8,6,0,30
Ford,1828.5,7,7,7,0,30
Kral,1661.5,7,7,7,0,30
Jangaard,1620,7,7,7,0,30
Bethany,1618.5,7,7,7,0,30
Scott,1497.5,5,5,9,0,30
Burg,1448,4,4,10,0,30
Wikle,1692,9,9,5,0,31
Brazil,1802,8,8,6,0,31
Rebecca,1743.5,8,8,6,0,31
Jersey,1723,8,8,6,0,31
Ford,1828.5,7,7,7,0,31
Kral,1661.5,7,7,7,0,31
Jangaard,1620,7,7,7,0,31
Bethany,1618.5,7,7,7,0,31
Scott,1497.5,5,5,9,0,31
Burg,1448,4,4,10,0,31
Wikle,1692,9,9,5,0,32
Brazil,1802,8,8,6,0,32
Rebecca,1743.5,8,8,6,0,32
Jersey,1723,8,8,6,0,32
Ford,1828.5,7,7,7,0,32
Kral,1661.5,7,7,7,0,32
Jangaard,1620,7,7,7,0,32
Bethany,1618.5,7,7,7,0,32
Scott,1497.5,5,5,9,0,32
Burg,1448,4,4,10,0,32
Wikle,1692,9,9,5,0,33
Brazil,1802,8,8,6,0,33
Rebecca,1743.5,8,8,6,0,33
Jersey,1723,8,8,6,0,33
Ford,1828.5,7,7,7,0,33
Kral,1661.5,7,7,7,0,33
Jangaard,1620,7,7,7,0,33
Bethany,1618.5,7,7,7,0,33
Scott,1497.5,5,5,9,0,33
Burg,1448,4,4,10,0,33
Wikle,1692,9,9,5,0,34
Brazil,1802,8,8,6,0,34
Rebecca,1743.5,8,8,6,0,34
Jersey,1723,8,8,6,0,34
Ford,1828.5,7,7,7,0,34
Kral,1661.5,7,7,7,0,34
Jangaard,1620,7,7,7,0,34
Bethany,1618.5,7,7,7,0,34
Scott,1497.5,5,5,9,0,34
Burg,1448,4,4,10,0,34
Wikle,1692,9,9,5,0,35
Brazil,1802,8,8,6,0,35
Rebecca,1743.5,8,8,6,0,35
Jersey,1723,8,8,6,0,35
Ford,1828.5,7,7,7,0,35
Kral,1661.5,7,7,7,0,35
Jangaard,1620,7,7,7,0,35
Bethany,1618.5,7,7,7,0,35
Scott,1497.5,5,5,9,0,35
Burg,1448,4,4,10,0,35
Wikle,1692,9,9,5,0,36
Brazil,1802,8,8,6,0,36
Rebecca,1743.5,8,8,6,0,36
Jersey,1723,8,8,6,0,36
Ford,1828.5,7,7,7,0,36
Kral,1661.5,7,7,7,0,36
Jangaard,1620,7,7,7,0,36
Bethany,1618.5,7,7,7,0,36
Scott,1497.5,5,5,9,0,36
Burg,1448,4,4,10,0,36
Wikle,1692,9,9,5,0,37
Brazil,1802,8,8,6,0,37
Rebecca,1743.5,8,8,6,0,37
Jersey,1723,8,8,6,0,37
Ford,1828.5,7,7,7,0,37
Kral,1661.5,7,7,7,0,37
Jangaard,1620,7,7,7,0,37
Bethany,1618.5,7,7,7,0,37
Scott,1497.5,5,5,9,0,37
Burg,1448,4,4,10,0,37
Wikle,1692,9,9,5,0,38
Brazil,1802,8,8,6,0,38
Rebecca,1743.5,8,8,6,0,38
Jersey,1723,8,8,6,0,38
Ford,1828.5,7,7,7,0,38
Kral,1661.5,7,7,7,0,38
Jangaard,1620,7,7,7,0,38
Bethany,1618.5,7,7,7,0,38
Scott,1497.5,5,5,9,0,38
Burg,1448,4,4,10,0,38
Wikle,1692,9,9,5,0,39
Brazil,1802,8,8,6,0,39
Rebecca,1743.5,8,8,6,0,39
Jersey,1723,8,8,6,0,39
Ford,1828.5,7,7,7,0,39
Kral,1661.5,7,7,7,0,39
Jangaard,1620,7,7,7,0,39
Bethany,1618.5,7,7,7,0,39
Scott,1497.5,5,5,9,0,39
Burg,1448,4,4,10,0,39
Wikle,1692,9,9,5,0,40
Brazil,1802,8,8,6,0,40
Rebecca,1743.5,8,8,6,0,40
Jersey,1723,8,8,6,0,40
Ford,1828.5,7,7,7,0,40
Kral,1661.5,7,7,7,0,40
Jangaard,1620,7,7,7,0,40
Bethany,1618.5,7,7,7,0,40
Scott,1497.5,5,5,9,0,40
Burg,1448,4,4,10,0,40
Wikle,1692,9,9,5,0,41
Brazil,1802,8,8,6,0,41
Rebecca,1743.5,8,8,6,0,41
Jersey,1723,8,8,6,0,41
Ford,1828.5,7,7,7,0,41
Kral,1661.5,7,7,7,0,41
Jangaard,1620,7,7,7,0,41
Bethany,1618.5,7,7,7,0,41
Scott,1497.5,5,5,9,0,41
Burg,1448,4,4,10,0,41
Wikle,1692,9,9,5,0,42
Brazil,1802,8,8,6,0,42
Rebecca,1743.5,8,8,6,0,42
Jersey,1723,8,8,6,0,42
Ford,1828.5,7,7,7,0,42
Kral,1661.5,7,7,7,0,42
Jangaard,1620,7,7,7,0,42
Bethany,1618.5,7,7,7,0,42
Scott,1497.5,5,5,9,0,42
Burg,1448,4,4,10,0,42
Wikle,1692,9,9,5,0,43
Brazil,1802,8,8,6,0,43
Rebecca,1743.5,8,8,6,0,43
Jersey,1723,8,8,6,0,43
Ford,1828.5,7,7,7,0,43
Kral,1661.5,7,7,7,0,43
Jangaard,1620,7,7,7,0,43
Bethany,1618.5,7,7,7,0,43
Scott,1497.5,5,5,9,0,43
Burg,1448,4,4,10,0,43
Wikle,1692,9,9,5,0,44
Brazil,1802,8,8,6,0,44
Rebecca,1743.5,8,8,6,0,44
Jersey,1723,8,8,6,0,44
Ford,1828.5,7,7,7,0,44
Kral,1661.5,7,7,7,0,44
Jangaard,1620,7,7,7,0,44
Bethany,1618.5,7,7,7,0,44
Scott,1497.5,5,5,9,0,44
Burg,1448,4,4,10,0,44
Wikle,1692,9,9,5,0,45
Brazil,1802,8,8,6,0,45
Rebecca,1743.5,8,8,6,0,45
Jersey,1723,8,8,6,0,45
Ford,1828.5,7,7,7,0,45
Kral,1661.5,7,7,7,0,45
Jangaard,1620,7,7,7,0,45
Bethany,1618.5,7,7,7,0,45
Scott,1497.5,5,5,9,0,45
Burg,1448,4,4,10,0,45
Wikle,1692,9,9,5,0,46
Brazil,1802,8,8,6,0,46
Rebecca,1743.5,8,8,6,0,46
Jersey,1723,8,8,6,0,46
Ford,1828.5,7,7,7,0,46
Kral,1661.5,7,7,7,0,46
Jangaard,1620,7,7,7,0,46
Bethany,1618.5,7,7,7,0,46
Scott,1497.5,5,5,9,0,46
Burg,1448,4,4,10,0,46
Wikle,1692,9,9,5,0,47
Brazil,1802,8,8,6,0,47
Rebecca,1743.5,8,8,6,0,47
Jersey,1723,8,8,6,0,47
Ford,1828.5,7,7,7,0,47
Kral,1661.5,7,7,7,0,47
Jangaard,1620,7,7,7,0,47
Bethany,1618.5,7,7,7,0,47
Scott,1497.5,5,5,9,0,47
Burg,1448,4,4,10,0,47
Wikle,1692,9,9,5,0,48
Brazil,1802,8,8,6,0,48
Rebecca,1743.5,8,8,6,0,48
Jersey,1723,8,8,6,0,48
Ford,1828.5,7,7,7,0,48
Kral,1661.5,7,7,7,0,48
Jangaard,1620,7,7,7,0,48
Bethany,1618.5,7,7,7,0,48
Scott,1497.5,5,5,9,0,48
Burg,1448,4,4,10,0,48
Wikle,1692,9,9,5,0,49
Brazil,1802,8,8,6,0,49
Rebecca,1743.5,8,8,6,0,49
Jersey,1723,8,8,6,0,49
Ford,1828.5,7,7,7,0,49
Kral,1661.5,7,7,7,0,49
Jangaard,1620,7,7,7,0,49
Bethany,1618.5,7,7,7,0,49
Scott,1497.5,5,5,9,0,49
Burg,1448,4,4,10,0,49
Wikle,1692,9,9,5,0,50
Brazil,1802,8,8,6,0,50
Rebecca,1743.5,8,8,6,0,50
Jersey,1723,8,8,6,0,50
Ford,1828.5,7,7,7,0,50
Kral,1661.5,7,7,7,0,50
Jangaard,1620,7,7,7,0,50
Bethany,1618.5,7,7,7,0,50
Scott,1497.5,5,5,9,0,50
Burg,1448,4,4,10,0,50
Wikle,1692,9,9,5,0,51
Brazil,1802,8,8,6,0,51
Rebecca,1743.5,8,8,6,0,51
Jersey,1723,8,8,6,0,51
Ford,1828.5,7,7,7,0,51
Kral,1661.5,7,7,7,0,51
Jangaard,1620,7,7,7,0,51
Bethany,1618.5,7,7,7,0,51
Scott,1497.5,5,5,9,0,51
Burg,1448,4,4,10,0,51
Wikle,1692,9,9,5,0,52
Brazil,1802,8,8,6,0,52
Rebecca,1743.5,8,8,6,0,52
Jersey,1723,8,8,6,0,52
Ford,1828.5,7,7,7,0,52
Kral,1661.5,7,7,7,0,52
Jangaard,1620,7,7,7,0,52
Bethany,1618.5,7,7,7,0,52
Scott,1497.5,5,5,9,0,52
Burg,1448,4,4,10,0,52
Wikle,1692,9,9,5,0,53
Brazil,1802,8,8,6,0,53
Rebecca,1743.5,8,8,6,0,53
Jersey,1723,8,8,6,0,53
Ford,1828.5,7,7,7,0,53
Kral,1661.5,7,7,7,0,53
Jangaard,1620,7,7,7,0,53
Bethany,1618.5,7,7,7,0,53
Scott,1497.5,5,5,9,0,53
Burg,1448,4,4,10,0,53
Wikle,1692,9,9,5,0,54
Brazil,1802,8,8,6,0,54
Rebecca,1743.5,8,8,6,0,54
Jersey,1723,8,8,6,0,54
Ford,1828.5,7,7,7,0,54
Kral,1661.5,7,7,7,0,54
Jangaard,1620,7,7,7,0,54
Bethany,1618.5,7,7,7,0,54
Scott,1497.5,5,5,9,0,54
Burg,1448,4,4,10,0,54
Wikle,1692,9,9,5,0,55
Brazil,1802,8,8,6,0,55
Rebecca,1743.5,8,8,6,0,55
Jersey,1723,8,8,6,0,55
Ford,1828.5,7,7,7,0,55
Kral,1661.5,7,7,7,0,55
Jangaard,1620,7,7,7,0,55
Bethany,1618.5,7,7,7,0,55
Scott,1497.5,5,5,9,0,55
Burg,1448,4,4,10,0,55
Wikle,1692,9,9,5,0,56
Brazil,1802,8,8,6,0,56
Rebecca,1743.5,8,8,6,0,56
Jersey,1723,8,8,6,0,56
Ford,1828.5,7,7,7,0,56
Kral,1661.5,7,7,7,0,56
Jangaard,1620,7,7,7,0,56
Bethany,1618.5,7,7,7,0,56
Scott,1497.5,5,5,9,0,56
Burg,1448,4,4,10,0,56
Wikle,1692,9,9,5,0,57
Brazil,1802,8,8,6,0,57
Rebecca,1743.5,8,8,6,0,57
Jersey,1723,8,8,6,0,57
Ford,1828.5,7,7,7,0,57
Kral,1661.5,7,7,7,0,57
Jangaard,1620,7,7,7,0,57
Bethany,1618.5,7,7,7,0,57
Scott,1497.5,5,5,9,0,57
Burg,1448,4,4,10,0,57
Wikle,1692,9,9,5,0,58
Brazil,1802,8,8,6,0,58
Rebecca,1743.5,8,8,6,0,58
Jersey,1723,8,8,6,0,58
Ford,1828.5,7,7,7,0,58
Kral,1661.5,7,7,7,0,58
Jangaard,1620,7,7,7,0,58
Bethany,1618.5,7,7,7,0,58
Scott,1497.5,5,5,9,0,58
Burg,1448,4,4,10,0,58
Wikle,1692,9,9,5,0,59
Brazil,1802,8,8,6,0,59
Rebecca,1743.5,8,8,6,0,59
Jersey,1723,8,8,6,0,59
Ford,1828.5,7,7,7,0,59
Kral,1661.5,7,7,7,0,59
Jangaard,1620,7,7,7,0,59
Bethany,1618.5,7,7,7,0,59
Scott,1497.5,5,5,9,0,59
Burg,1448,4,4,10,0,59
Wikle,1692,9,9,5,0,60
Brazil,1802,8,8,6,0,60
Rebecca,1743.5,8,8,6,0,60
Jersey,1723,8,8,6,0,60
Ford,1828.5,7,7,7,0,60
Kral,1661.5,7,7,7,0,60
Jangaard,1620,7,7,7,0,60
Bethany,1618.5,7,7,7,0,60
Scott,1497.5,5,5,9,0,60
Burg,1448,4,4,10,0,60
Wikle,1692,9,9,5,0,61
Brazil,1802,8,8,6,0,61
Rebecca,1743.5,8,8,6,0,61
Jersey,1723,8,8,6,0,61
Ford,1828.5,7,7,7,0,61
Kral,1661.5,7,7,7,0,61
Jangaard,1620,7,7,7,0,61
Bethany,1618.5,7,7,7,0,61
Scott,1497.5,5,5,9,0,61
Burg,1448,4,4,10,0,61
Wikle,1692,9,9,5,0,62
Brazil,1802,8,8,6,0,62
Rebecca,1743.5,8,8,6,0,62
Jersey,1723,8,8,6,0,62
Ford,1828.5,7,7,7,0,62
Kral,1661.5,7,7,7,0,62
Jangaard,1620,7,7,7,0,62
Bethany,1618.5,7,7,7,0,62
Scott,1497.5,5,5,9,0,62
Burg,1448,4,4,10,0,62
Wikle,1692,9,9,5,0,63
Brazil,1802,8,8,6,0,63
Rebecca,1743.5,8,8,6,0,63
Jersey,1723,8,8,6,0,63
Ford,1828.5,7,7,7,0,63
Kral,1661.5,7,7,7,0,63
Jangaard,1620,7,7,7,0,63
Bethany,1618.5,7,7,7,0,63
Scott,1497.5,5,5,9,0,63
